,Title,Actual_Price,Selling_Price,Model Name,Color,Headphone Type,Inline Remote,Sales Package,Connectivity,Headphone Design,Accessories Included
131,"PTron Bassbuds Revv Bluetooth Gaming Headset  (Black, True Wireless)","₹4,599","₹1,699",Bassbuds Revv,Black,True Wireless,Yes,"1 earbud , user manual ,warranty card",Bluetooth,Earbud,"USB Charging Cable, Charging Case, User Manual"
132,"Wings Phantom Pro Gaming TWS with 40 Hrs Playtime,50ms low latency, Bluetooth 5.3 Bluetooth Gaming Headset  (White, True Wireless)","₹5,499","₹1,299",Phantom Pro Gaming TWS with 40 Hrs Playtime Bluetooth Headset,White,True Wireless,Yes,"1 Charging Case, 2 Earbuds, 3 Sets of Ear Tips, User Manual, Charging Type-C Cable",Bluetooth,Earbud,
133,"Skullcandy Hesh ANC Bluetooth Headset  (Mod White, On the Ear)","₹19,999","₹11,299",Hesh ANC,Mod White,On the Ear,Yes,"Hesh ANC Wireless Headphone, USB-C Charging Cable, Backup AUX Cable, User Guide",Bluetooth,Over the Head,
134,"ZEBRONICS Zeb-Yoga 101 Bluetooth Headset  (Grey, In the Ear)","₹2,499",₹849,Zeb-Yoga 101,Grey,In the Ear,Yes,"1 Headphone, 2 Pair of Earbuds, 2 Pair of Earhooks, Charging Cable, User Manual",Bluetooth,Behind the Neck,
135,"boAt Rockerz 333 Upto 30 Hours Battery Bluetooth Headset  (Cherry Black, In the Ear)","₹2,490","₹1,599",Rockerz 333 with ASAP Charge and upto 30 Hours Playback,Cherry Black,In the Ear,Yes,"1 Headphone, Additional Earbuds, Type-C Charging Cable, User Manual, Warranty Card",Bluetooth,Behind the Neck,
136,"ZEBRONICS Zeb-Blitz with DOLBY ATMOS with 7.1 Surround Sound Bluetooth Gaming Headset  (White, On the Ear)","₹5,999","₹2,399",Zeb-Blitz,White,On the Ear,Yes,"1 Headphone, User Manual",Bluetooth,Over the Head,
137,"Noise Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync Bluetooth Headset  (Jet Black, True Wireless)","₹3,999","₹1,499","Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Jet Black,True Wireless,No,"1 Pair of Earbuds with Charging Case, Charging Cable, User Manual, Warranty Registration Card",Bluetooth,Earbud,
138,"Boult Audio ProBass Curve Neckband Bluetooth Headset  (Black, Grey, In the Ear)","₹3,499",₹899,Curve Wireless Neckband Magnetic Earphone With Mic,"Black, Grey",In the Ear,Yes,"1 Earphone, 2 Extra Pair of Earbuds, Charging Micro USB Cable, User Manual",Bluetooth,,
139,"Noise Buds Combat with 45 Hours Playtime, Ultra-low Latency(40ms), Quad Mic ENC Gaming Bluetooth Headset  (Covert white, True Wireless)","₹3,999","₹1,799",Buds Combat,Covert white,True Wireless,No,"1 Pair Earbuds, Charging Case, Charging Cable, User Manual, Warranty Registration Card",Bluetooth,Earbud,
140,"ZEBRONICS ZEB-HARK Wired Headset  (Black, In the Ear)",₹349,₹270,ZEB-HARK,Black,In the Ear,Yes,1 earphone,Wired,Canalphone,
141,"Noise Buds VS202 with 13mm driver,Hyper Sync and Fast Charge Bluetooth Headset  (Charcoal Black, True Wireless)","₹3,499","₹1,099",Buds VS202 Truly Wireless,Charcoal Black,True Wireless,No,"1N Bluetooth Headphone, 1N Charging Case, 1N Charging Cable, 1N User Manual, 1N Warranty Registration Card",Bluetooth,Earbud,
142,"Skullcandy Dime Truly wireless in Ear Earbuds with microphone Bluetooth Headset  (Chill Grey, True Wireless)","₹7,499","₹2,699",s2dmw-p744,Chill Grey,True Wireless,Yes,"Dime True Wireless Earbuds, Charging Case, Ear Gels (S, M, L) Micro- USB Charging Cable, User Guide",Bluetooth,Earbud,"USB Charging Cable, Charging Case"
143,"Wings Phantom 550, Gaming TWS Earbuds, 45hr Playtime, Touch Controls Bluetooth Gaming Headset  (Black, True Wireless)","₹2,999","₹1,299",Phantom 550,Black,True Wireless,No,"1 Pair of Earbuds, Charging Case, Cable, Extra Ear Cushions, User Manual",Bluetooth,Earbud,
