,Title,Price,Brand,Model Name,Colour,Headphones Form Factor,Connector Type,Wireless Communication Technology,Cable Type,Compatible Device,Special Feature,Series,Form Factor,Connectivity Technology,Connectivity technologies,Mounting Hardware,Wireless communication technologies,Connectivity Type
101,"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Angled Buds for Comfort fit (Black)",599,JBL,C100SI,Black,In Ear,Wired,,,,,,,,,,,
102,boAt BassHeads 900 On-Ear Wired Headphones with Mic (White),849,boAt,BassHeads,Pearl White,On Ear,Wired,,,,,,,,,,,
103,"Mivi Collar Flash Pro Bluetooth Earphones with mic, 72 Hours Playback Time, Dual Battery, Made in India. Neckband with Powerful Bass, Rich Sound, Fast Charging, Premium Finish(Green)","1,399",Mivi,Collar Flash Pro,Green,,,,,,,,In Ear,,Wireless,,,
104,"D Earphones Headphones for Samsung Galaxy A02s ,Samsung Galaxy M21s ,Samsung Galaxy M31 Prime ,Samsung Galaxy F41 ,Samsung Galaxy Tab Active3 ,Samsung Galaxy S20 FE 5G ,Samsung Galaxy S20 FE Earphone Original Like Wired Stereo Deep Bass Head Hands-free Headset Earbud With Built in-line Mic, With Premium Quality Good Sound Call Answer/End Button, Music 3.5mm Aux Audio Jack (TYPE C MP16,AK, Black)",349,Shop Reals,Wired Earphone,Multicolour,In Ear,Wired,,,,,,,,,,,
105,"Sony Wh-Ch510 Bluetooth Wireless On Ear Headphones Up-To 35Hrs Playtime Lightweight, Type-C, Play/Pause Control, 30Mm Driver, Bt Version 5.0 & Voice Assistant Support For Mobiles, with mic - Blue","2,690",Sony,WH-CH510,Blue,On Ear,Bluetooth 5.0,,,,,,,,,,,
106,"Sony WI-C100 Wireless Headphones with Customizable Equalizer for Deep Bass & 25 Hrs Battery, DSEE-Upscale, Splash Proof, 360RA, Fast Pair, in-Ear Bluetooth Headset with mic for Phone Calls (Blue)","1,699",Sony,WI-C100,WI-C100/Blue,In Ear,Bluetooth,,,,,,,,,,,
107,"ZEBRONICS Zeb-Thunder Bluetooth Wireless Over The Ear Headphone FM, mSD, 9 hrs Playback with Mic (Blue with Red)",599,ZEBRONICS,Zeb - Thunder (Blue with red),Blue with Red,Over Ear,Wireless,,,,,,,,,,,
108,"Sony WH-XB910N Extra Bass Noise Cancelling Bluetooth Wireless Over Ear Headphones with Alexa Voice Control, Fast Pair, 30Hr Battery | Instant Bank Discount of INR 2000 on Select Prepaid transactions","14,399",Sony,WH-XB910N,Blue,Over Ear,Bluetooth,,,,,,,,,,,
109,Jabra Move Wireless Stereo Headphones - Black,"9,194",Jabra,,Black,,,,,,Wireless,,,,Wireless,,Bluetooth,
110,"Sony WH-XB910N Extra Bass Noise Cancelling Bluetooth Wireless Over Ear Headphones with Alexa Voice Control, Fast Pair, 30Hr Battery | Instant Bank Discount of INR 2000 on Select Prepaid transactions","14,399",Sony,WH-XB910N,Blue,Over Ear,Bluetooth,,,,,,,,,,,
111,"Mivi Collar Flash Pro Bluetooth Earphones with mic, 72 Hours Playback Time, Dual Battery, Made in India. Neckband with Powerful Bass, Rich Sound, Fast Charging, Premium Finish(Red)","1,399",Mivi,Collar Flash Pro,Red,,,,,,,,In Ear,,Wireless,,,
112,"Wireless Bluetooth Headphones Earphones for Xiaomi Mi 11i / Xiaomi Mi 11i Original Sports Bluetooth Wireless Earphone with Deep Bass and Neckband Hands-Free Calling inbuilt With Mic, Extra Deep Bass Hands-Free Call/Music, Sports Earbuds, Sweatproof Mic Headphones with Long Battery Life and Flexible Headset ( MP10, BLR-2, Black)",NaN,Shop Reals,Xiaomi Mi 11i,Mix,In Ear,Wireless,,,,,,,,,,,
113,"GoSale Wireless Bluetooth in-Ear Headphones for Xiaomi Mi 3 / Xiomi Mi 3 / Xiaomi Mi3 / Xiaomi Mi 3 Earphone Headset with Mic, HBS-730 Magnetic Earbuds, Neck-Band, Jogger",589,GoSale,,Multicolour,In Ear,Wireless,Bluetooth,,,,,,,,,,
114,Boult Audio BassBuds X1 in-Ear Wired Earphones with 10mm Extra Bass Driver and HD Sound with mic(Blue),329,Boult Audio,Bassbuds,Blue,In Ear,Wireless,,,,,,,,,,,
115,"Gaming Headset K8 with Surround Sound, Premium Wired Over Ear Gaming Headphones with Mic & LED Light, Compatible with PS5, PS4, Switch, Xbox Series X|S, PC, Laptop. (White)",827,RUNMUS GAMING,K8,Black,Over Ear,Wired,,,,,,,,,,,
116,"Sony WH-1000XM5 Wireless Industry Leading Active Noise Cancelling Headphones, 8 Mics for Clear Calling, 30Hr Battery, 3 Min Quick Charge = 3 Hours Playback, Multi Point Connectivity, Alexa-Silver","29,990",Sony,WH1000XM5/SMIN,Silver,Over Ear,Wireless,,,,,,,,,,,
117,Dylect in-Ear Wired Earphone I Stereo Quality Sound I High Bass I in-Built Mic I 1.2m Tangle Free Cable I 3.5mm Aux Port (Black),188,Dylect,Dylect Wired Earphone,Black,In Ear,Wired,,,,,,,,,,,
118,"boAt Nirvana 751 ANC Hybrid Active Noise Cancelling Bluetooth Wireless Over Ear Headphones with Up to 65H Playtime, ASAP Charge, Ambient Sound Mode, Immersive Sound, Carry Pouch(Gunmetal Grey)","3,999",boAt,Nirvanaa 751 ANC,Gunmetal Grey,Over Ear,Bluetooth 5.0,,,,,,,,,,,
119,"Sony WH-XB910N Extra Bass Noise Cancelling Bluetooth Wireless Over Ear Headphones with Alexa Voice Control, Fast Pair, 30Hr Battery | Instant Bank Discount of INR 2000 on Select Prepaid transactions","14,399",Sony,WH-XB910N,Blue,Over Ear,Bluetooth,,,,,,,,,,,
120,"Sony Wh-Ch510 Bluetooth Wireless On Ear Headphones Up-To 35Hrs Playtime Lightweight, Type-C, Play/Pause Control, 30Mm Driver, Bt Version 5.0 & Voice Assistant Support For Mobiles, with mic - Blue","2,690",Sony,WH-CH510,Blue,On Ear,Bluetooth 5.0,,,,,,,,,,,
121,"UBON Earphones UB 770 Universal in Ear Earphone with mic Wired with Hi-Resolution Audio Deep Bass Headphones Ergonomic Sweatproof Earbuds for All Smartphones Dynamic 10mm Driver, (Black)",229,UBON,UB-770,Black,In Ear,Wired,,,,,,,,,,,
122,"Jabra Evolve2 75 PC Wireless Headset with 8-Microphone Technology - Dual Foam Stereo Headphones with Adjustable Advanced Active Noise Cancelling, USB-C Bluetooth Adapter and UC Compatibility - Black","43,500",Jabra,Evolve2 75,Black,On Ear,Wireless,,,,,,,,,,,
123,"Gaming Headset K8 with Surround Sound, Premium Wired Over Ear Gaming Headphones with Mic & LED Light, Compatible with PS5, PS4, Switch, Xbox Series X|S, PC, Laptop. (White)",827,RUNMUS GAMING,K8,Black,Over Ear,Wired,,,,,,,,,,,
124,"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Red)",149,ZEBRONICS,Zeb-Bro,Red,In Ear,Wired,,,,,,,,,,,
125,"CableCreation 3.5mm TRS Aux Cable, Braided Audio Auxiliary Input Adapter Male to Male for Car, Hi-Fi Sound, Cotton Compatible with Headphone, Galaxy S22, Phone, Home Stereo, Car Stereo&More",599,CableCreation,,"Gold, White, Black",,Auxiliary,,AUX,"Laptop, Television, Personal Computer, Smartphone",,,,,,,,
126,"Boult Audio Z20 Truly Wireless in Ear Earbuds with Zen™ ENC mic, 40H Battery Life, Type-C Fast Charging, Made in India, 10mm Bass Drivers, Environmental Noise Cancellation, Bluetooth Ear Buds (Black)","1,398",Boult Audio,AirBass,Z20 Black,In Ear,Bluetooth 5.1,,,,,,,,,,,
127,"Sony WH-CH710N Active Noise Cancelling Wireless Headphones Bluetooth Over The Ear Headset with Mic for Phone-Call, 35Hrs Battery Life, Aux, Quick Charge and Google Assistant Support for Mobiles -Black","8,690",Sony,Headphones,Black,Over Ear,Bluetooth 5.0,,,,,,,,,,,
128,"JBL C50HI, Wired in Ear Headphones with Mic, One Button Multi-Function Remote, Lightweight & Comfortable fit (Blue)",499,JBL,C50HI,Blue,In Ear,3.5 mm Jack,,,,,,,,,,,
129,"UBON Bluetooth Earphone CL-395 Oman Series, Wireless Neckband with Up to 20 Hours Playtime, Magnetic Earbuds,Suports Siri & Google Assistant, v5.1 Bluetooth Headset (Black)",789,UBON,OMAN,BLACK,In Ear,Wireless,,,,,,,,,,,
130,Dylect in-Ear Wired Earphone I Stereo Quality Sound I High Bass I in-Built Mic I 1.2m Tangle Free Cable I 3.5mm Aux Port (Black),188,Dylect,Dylect Wired Earphone,Black,In Ear,Wired,,,,,,,,,,,
131,"boAt BassHeads 122 Wired in Ear Earphones with Heavy Bass, Integrated Controls and Mic (Gun Metal)",399,boAt,BassHeads,Gun Metal,In Ear,3.5 mm Jack,,,,,,,,,,,
132,"Logitech H340 Stereo Wired Over Ear Headphones With Mic With Noise-Cancelling, Usb, Pc/Mac/Laptop - Black","2,595",Logitech,l1,Black,Over Ear,Wired,,,,,,,,,,,
133,"JBL C200SI, Premium in Ear Wired Earphones with Mic, Signature Sound, One Button Multi-Function Remote, Angled Earbuds for Comfort fit (Blue)",799,JBL,C Series,Blue,In Ear,Wired,,,,,,,,,,,
134,"Wireless Bluetooth Headphones Earphones for OnePlus Nord N20 SE / OnePlus Nord N 20 SE Original Sports Bluetooth Wireless Earphone with Deep Bass and Neckband Hands-Free Call/Music, Sports Earbuds, Sweatproof Mic Headphones with Long Battery Life and Flexible Headset ( TB2,RKZ-1000,BLACK)",NaN,Shop Reals,OnePlus Nord N20 SE,Mix,In Ear,Wireless,,,,,,,,,,,
135,"Sony WH-CH710N Active Noise Cancelling Wireless Headphones Bluetooth Over The Ear Headset with Mic for Phone-Call, 35Hrs Battery Life, Aux, Quick Charge and Google Assistant Support for Mobiles -Black","8,690",Sony,Headphones,Black,Over Ear,Bluetooth 5.0,,,,,,,,,,,
136,"ZEBRONICS Zeb Buds C2 in Ear Type C Wired Earphones with Mic, Braided 1.2 Metre Cable, Metallic Design, 10mm Drivers, in Line Mic & Volume Controller (Blue)",399,ZEBRONICS,Zeb Buds C2 (Blue),Blue,In Ear,Wired,,,,,,,,,,,
137,Sony WH-CH510 Wireless Bluetooth On Ear Headphone with Mic (Blue),"2,688",Sony,WH-CH510,Blue,On Ear,Bluetooth,,,,,,,,,,,
138,"Mivi DuoPods A350 Earbuds- 50hrs Playtime True Wireless in Ear Earbuds with mic. Rich Bass, 13mm Dynamic Drivers, Fast Charging, Half in Ear, Metallic Shades, Voice Assistant-Black","1,299",Mivi,DuoPods A40,Black,,,,,,,,In Ear,,Bluetooth 5.1,,,
139,"GoSale Wireless Bluetooth Headphones Earphones for Samsung Galaxy J7 Duo, Grand Prime, J7 Prime 2, On Nxt, Grand 2, Grand Prime 4G, Grand Neo Plus, On6, Alpha, A6, Core Prime Earphone Bluetooth Wireless Neckband Flexible In-Ear Headphones Headset With Mic, Extra Deep Bass Hands-Free Call/Music, Sports Earbuds, Sweatproof (JMD9, Multi)","1,299.",GoSale,,Multicolour,In Ear,Wireless,Bluetooth,,,,,,,,,,
140,"Mivi Collar Flash Pro Bluetooth Earphones with mic, 72 Hours Playback Time, Dual Battery, Made in India. Neckband with Powerful Bass, Rich Sound, Fast Charging, Premium Finish(Grey)","1,399",Mivi,Collar Flash Pro,Grey,,,,,,,,In Ear,,Wireless,,,
