,Title,Price,Brand,Model Name,Colour,Headphones Form Factor,Connector Type,Wireless Communication Technology,Cable Type,Compatible Device,Special Feature,Series,Form Factor,Connectivity Technology,Connectivity technologies,Mounting Hardware,Wireless communication technologies,Connectivity Type
195,"GoSale Earphone in-Ear Headphones for Nokia 7.1 Plus Earphones Wired Stereo Bass Head Hands-Free Headsets Earbuds with Mic, Calling 3.5mm Jack",299,GoSale,,white,In Ear,Wired,,,,,,,,,,,
196,"(Renewed) Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs Playtime, Ultra-Fast Charging Bluetooth Headset Black, In the Ear",750,Boult Audio,ProBass EQCharge bluetooth headset-cr,Black,In Ear,Wireless,,,,,,,,,,,
197,"ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone with BTv5.0, Up to 21 Hours Playback, 40mm Drivers with Deep Bass, Wired Mode, USB-C Type Charging(Black)",799,ZEBRONICS,ZEB-THUNDER PRO(BLACK),black,Over Ear,Wireless,,,,,,,,,,,
198,"GoSale in-Ear Headphones YS Earphones for Samsung Galaxy J7 Prime 2 Earphone Wired Stereo Deep Bass Head Hands-Free Headset Earbud with Built in-line Mic, Calling 3.5mm Audio Jack",NaN,GoSale,,White,In Ear,Wired,,,,,,,,,,,
199,"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Angled Buds for Comfort fit (Black)",599,JBL,C100SI,Black,In Ear,Wired,,,,,,,,,,,
200,Sony Premium MDR-XB55AP in-Ear Extra Bass Wired Headphones with Mic (Blue),"2,099",Sony,MDR-XB55AP,Blue,In Ear,Wired,,,,,,,,,,,
201,"Mivi DuoPods A350 True Wireless Earbuds with 50hrs Playtime, Half in Ear, 13mm Dynamic bass Drivers, Fast Charging, Metallic Shades, Made in India Bluetooth Earphone, TWS with Voice Assistant - White","1,299",Mivi,DuoPods A40,White,,,,,,,,In Ear,,Wireless,,,
202,"UBON Bluetooth Headphones Earphones 5.0 Wireless Headphones with Hi-Fi Stereo Sound, 30Hrs Playtime, Lightweight Ergonomic Neckband, Water-Resistant Magnetic Earbuds, Voice Assistant & Mic (Blue)",949,UBON,Khiladi,Grey,In Ear,Wireless,,,,,,,,,,,
203,"GoSale In-Ear Headphones Earphones for Samsung Galaxy M01 Core / M 01 Core, Samsung Galaxy J2 Core 2020, OPPO A11K / A 11 K, Tecno Spark 6 Air / Spark6 Air Earphone Wired Stereo Deep Bass Head Hands-free Headset Earbud With Built in-line Mic, Call Answer/End Button, Music 3.5mm Aux Audio Jack (YR1, White)",,GoSale,,White,In Ear,Wired,,,,,,,,,,,
204,ZEBRONICS Zeb-Duke Bluetooth Wireless Over Ear Headphone with Mic (Blue),"1,299",ZEBRONICS,Zeb-Duke,Blue,Over Ear,Wireless,,,,,,,,,,,
