,Title,Actual_Price,Selling_Price,Brand,Model Name,Colour,Headphones Form Factor,Connector Type,Form Factor,Connectivity technologies,Wireless Communication Technology,Cable Type,Compatible Device,Special Feature,Style,Connectivity Technology,Wireless communication technologies,Age Range (Description),Connectivity Type,Mounting Hardware,Series,Compatible Devices,Specific Uses For Product,Material,Fabric Type,Weight,Size,Item Dimensions LxWxH,Number of Batteries
406,"ZEBRONICS Zeb-Bro+ 2 RED 14mm Drivers,in-LINE MIC.in-Ear Design,3.5mm CONNECTER,DEEP BASS,1.2m Cable Extra eartips Pair",₹449,275,ZEBRONICS,Zeb-Bro+ 2 red,RED,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
407,"boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes & Bassheads 242 in Ear Wired Earphones with Mic",NaN,"1,999",boAt,,"Blue, Black",On Ear,"Wireless, Wired",,,Bluetooth,,,,,,,,,,,,,,,,,,
408,"ZEBRONICS Zeb-Thunder Wireless Over Ear BT Headphone Comes with mic, 40mm Drivers, AUX Connectivity, Built in FM, Call Function, 9Hrs* Playback time and Supports Micro SD Card(Sea Green)",NaN,699,ZEBRONICS,Zeb-Thunder (Sea Green),Sea Green,Over Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
409,Meyaar Beex Wired In Ear Earphone with Mic (White),NaN,279,Meyaar,,White,In Ear,wired usb,,,,,,,,,,,,,,,,,,,,,
410,(Renewed) boAt Rockerz 660 Bluetooth Over-Ear Headphone with Mic(Bumblebee Blue),NaN,,boAt,Rockerz 660,Bumblebee Blue,Over Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
411,Meyaar M-11 Noise Isolating Wired in-Ear Earphone with Mic (Black + Pink (2 Pack)),₹999,279,Meyaar,M-11,Black + Pink (2 Pack),In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
412,ZEBRONICS Zeb-Calyx Wired in Ear Earphone with Mic (White) & Zeb-Bro Wired Earphone (White),NaN,,ZEBRONICS,,White,In Ear,Wired,,,,,,in-ear,,,,,,,,,,,,,,,
413,"Gaming Headset K8 with Surround Sound, Premium Wired Over Ear Gaming Headphones with Mic & LED Light, Compatible with PS5, PS4, Switch, Xbox Series X|S, PC, Laptop. (White)","₹1,999",827,RUNMUS GAMING,K8,Black,Over Ear,Wired,,,,,,,,,,,,,,,,,,,,,
414,"ZEBRONICS Zeb-Sound Bomb G1 Gaming Bluetooth Truly Wireless in Ear Earbuds, 50Ms Low Latency, AAC Support, Flash Connect, Deep Bass, Splash Proof, Voice Assistant, Bt V5.0 with Mic (Red)","₹3,999","1,099",ZEBRONICS,ZEB-SOUND BOMB G1 (RED),Red,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
415,"CableCreation 3.5mm TRS Aux Cable, Braided Audio Auxiliary Input Adapter Male to Male for Car, Hi-Fi Sound, Cotton Compatible with Headphone, Galaxy S22, Phone, Home Stereo, Car Stereo&More",NaN,599,CableCreation,,"Gold, White, Black",,Auxiliary,,,,AUX,"Laptop, Television, Personal Computer, Smartphone",,,,,,,,,,,,,,,,
416,"pTron Tangent Evo, 14Hrs Playback, Bluetooth 5.0 Earphones, In-Ear Headphones with Mic, Deep Bass, Clear Calls, IPX4 Water Resistant Neckband, Voice Assistance, Magnetic Earbuds & Fast Charging (Blue)","₹2,299",499,PTron,Tangent,Blue,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
417,"Noise Buds VS402 Truly Wireless in Ear Earbuds, 35-Hours of Playtime, Instacharge(Neon Black) & ColorFit Pulse Grand Smart Watch with 1.69""(4.29cm) HD Display (Black) & ColorFit Pulse Spo2 Smart Watch",NaN,,Noise,,Neon Black,In Ear,Wireless,,,Bluetooth,,,,,,,,,,,,,,,,,,
418,Jabra Elite 7 Active in-Ear Bluetooth Earbuds - True Wireless Sports Ear Buds ShakeGrip for The Ultimate fit and Adjustable Active Noise Cancellation - Mint,NaN,"13,899",Jabra,Elite 7 Active,Mint,In Ear,Bluetooth,,,,,,,,,,,,,,,,,,,,,
419,"Portronics Harmonics Z1 in-Ear Wireless Stereo Headset with Latest Bluetooth 5.2 Voice Assistant, Magnetic Latch, Upto 15Hrs Playtime, with Mic (Black)","₹1,999",889,Portronics,Harmonics Z1,Black,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
420,"Meyaar Kidz Earphones Without Mic Colorful in-Ear Headphones Bulk Earbuds Pack of 10 Wholesale Earphones Headphones in Bulk for Smart Phone, MP3, Computer (10 Pack)",₹999,499,Meyaar,,Black,In Ear,Wired,,,,,,,,,,,,,,,,,,,,,
421,"PTron Bassbuds Vista in Ear True Wireless Bluetooth 5.1 Earbuds with Deep Bass, IPX4 Sweat Resistant, Passive Noise Cancelation,Up to 12 Hrs Battery, Voice Assistance & Earbuds with HD Mic (Blue)","₹2,799","1,099",PTron,Bassbuds Vista,Blue,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
422,"Wings Phantom 500 Godlike Wireless Gaming Earbuds,TWS Headphones with LED Battery Indicator, 40ms Low Latency, Bluetooth 5.1, 30 + Hours Playtime, ENC, 10mm Speaker Size (Black TWS)","₹4,999","1,299",Wings,Phantom 500 Godlike,Yellow,,,In Ear,Wireless,,,,,,,,,,,,,,,,,,,
423,"Noise Sense Bluetooth Wireless in Ear Earphones, Neckband Earphones with Fast Charging, Up to 25H Playback, Powerful Bass, with mic for Clear Calls, Type C Port, IPX5, Voice Assistant (Forest Green)","₹2,499",799,Noise,Sense,Forest Green,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
424,"ZEBRONICS Sound Bomb 7 Bluetooth TWS in Ear Earbuds with 40H Playtime, ENC Mic, Rapid Charge, Upto 50ms Gaming Mode, Flash Connect, Voice Assistant, Smooth Touch Control, BT v5.2, Type C (White)","₹4,299",999,ZEBRONICS,Zebronics ZEB-SOUND BOMB 7 (White),White,In Ear,Wireless,,,,,,,,,,,,,,,,,,,,,
