Title,Actual_Price,Selling_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type
"Noise Buds VS204 with 50 Hours Playtime, Instacharge, ESR, 10mm Driver, and HyperSync Bluetooth Headset  (Snow White, True Wireless)",3999.0,1599.0,Noise,Buds�VS204,Snow White,In Ear,Bluetooth
"Skullcandy Sesh Evo Bluetooth Headset  (Bleached Blue, True Wireless)",7999.0,4799.0,Skullcandy,Sesh Evo,Bleached Blue,In Ear,Bluetooth
"PTron Basspods P481, 60Hrs Playtime, Deep Bass, ENC Stereo Calls Bluetooth Headset  (Black, In the Ear)",3199.0,899.0,PTron,Basspods P481,Black,In Ear,Bluetooth
"ZEBRONICS ZEB-Buds-C2 Wired Headset  (Black, In the Ear)",699.0,599.0,ZEBRONICS,ZEB-Buds-C2,Black,In Ear,Wired
"Skullcandy Dime 2 Bluetooth Headset  (Blue, Grey, True Wireless)",7999.0,2699.0,Skullcandy,S2DBW-P751,"Blue, Grey",In Ear,Bluetooth
"PTron Basspods P481, 60Hrs Playtime, Deep Bass, ENC Stereo Calls Bluetooth Headset  (Black, In the Ear)",3199.0,899.0,PTron,Basspods P481,Black,In Ear,Bluetooth
"PTron Basspods 281 In-Ear True Wireless Bluetooth 5.1 Headphones with Deep Bass, Touch Control, IPX4 Sweat/Water-Resistant, Stereo Calling & Passive Noise Canceling Earbuds (Black/Grey) Bluetooth Headset  (Black, Grey, True Wireless)",2699.0,1099.0,PTron,Basspods 281,"Black, Grey",In Ear,Bluetooth
"PTron Basspods P11, 24Hrs Playback, 10mm Driver, MovieMode, HD Mic Bluetooth Headset  (Black, True Wireless)",2999.0,799.0,PTron,Basspods P11,Black,In Ear,Bluetooth
"ZEBRONICS Zeb-Thunder(Blue) Bluetooth Headset  (Blue, On the Ear)",1399.0,939.0,ZEBRONICS,Zeb-Thunder(Blue),Blue,On Ear,Bluetooth
"ZEBRONICS Zeb Duke 1 Wireless Headphone with Mic Bluetooth Headset  (Red, On the Ear)",2499.0,999.0,ZEBRONICS,Zeb-Duke 1,Red,On Ear,Bluetooth
"Skullcandy Sesh S2TDW-M003 True Wireless Bluetooth Headset  (Black, True Wireless)",5999.0,4999.0,Skullcandy,Sesh S2TDW-M003,Black,In Ear,Bluetooth
"Noise Nerve Neckband with 25 Hours of Playtime, 10mm Driver, Instacharge, and IPX5 Bluetooth Headset  (Stone Blue, In the Ear)",2499.0,899.0,Noise,Nerve,Stone Blue,In Ear,Bluetooth
"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,ASAP Charge & Quad Mic ENx Bluetooth Headset  (Mint Cascade, In the Ear)",2990.0,1299.0,boAt,Airdopes 131 Pro,Mint Cascade,In Ear,Bluetooth
"ZEBRONICS Zeb-Orion Wired Gaming Headset  (Black, On the Ear)",4999.0,1899.0,ZEBRONICS,Orion,Black,On Ear,Wired
"Noise Buds Combat with 45 Hours Playtime, Ultra-low Latency(40ms), Quad Mic ENC Gaming Bluetooth Headset  (Covert white, True Wireless)",3999.0,1799.0,Noise,Buds Combat,Covert white,In Ear,Bluetooth
"ZEBRONICS ZEB- EARPHONE YOGA 2 Bluetooth Headset  (Black, In the Ear)",1699.0,1395.0,ZEBRONICS,ZEB- EARPHONE YOGA 2,Black,In Ear,Bluetooth
"Skullcandy Indy ANC Bluetooth Headset  (Black, True Wireless)",19999.0,6499.0,Skullcandy,Indy ANC,Black,In Ear,Bluetooth
"Boult Audio ProBass Escape with Zen Tech ENC mic 10Hrs Playtime, Extra Deep Bass Bluetooth Headset  (Black, In the Ear)",3999.0,899.0,Boult,ProBass Escape,Black,In Ear,Bluetooth
"Skullcandy Hesh ANC Bluetooth Headset  (Black, On the Ear)",19999.0,11194.0,Skullcandy,Hesh ANC,Black,On Ear,Bluetooth
"Boult Audio Omega with 30dB ANC, Quad Mic ENC, 45ms Latency Gaming Mode, 32H Playtime, 5.2 Bluetooth Headset  (Black, True Wireless)",9999.0,1999.0,Boult,Airbass Omega,Black,In Ear,Bluetooth
"Portronics POR-1025 Conch Gama Wired Headset  (Black, In the Ear)",599.0,349.0,Portronics,POR-1025 Conch Gama,Black,In Ear,Wired
"Wings Phantom Pro Godlike Gaming TWS Earbuds Bluetooth Gaming Headset  (Yellow, True Wireless)",4999.0,1299.0,Wings,Phantom Pro Godlike Gaming TWS Earbuds,Yellow,In Ear,Bluetooth
"Boult Audio Maverick with Quad Mic ENC, 45ms Low Latency Gaming Mode, 35H Playtime Bluetooth Headset  (Black, True Wireless)",4499.0,1799.0,Boult,Maverick,Black,In Ear,Bluetooth
"ZEBRONICS Zeb-Sound Bomb 10 Bluetooth Headset  (Black, True Wireless)",4299.0,2145.0,ZEBRONICS,Zeb-Sound Bomb 10,Black,In Ear,Bluetooth
"PTron Bassbuds Xtreme, Gaming TWS Earbuds, 32hrs Playtime, Clear Calls, Pinch Control Bluetooth Headset  (Blue & Black, In the Ear)",4599.0,1299.0,PTron,Bassbuds Xtreme,Blue & Black,In Ear,Bluetooth
