product_link,Title,Actual_Price,Selling_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type
https://www.amazon.in/ZEBRONICS-Yoga-N3-Bluetooth-Assistant/dp/B0BGRSFFWX/ref=sr_1_78?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386802&refinements=p_89%3AZEBRONICS&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-78,"ZEBRONICS Yoga N3 with 46 Hours Backup, Bluetooth v5.2 Wireless Neckband, ENC Calling, Gaming Mode (Upto 50ms), Voice Assistant, Dual Pairing, Splash Proof and Type C (Black)",3499.0,999.0,ZEBRONICS,Zeb Yoga N3 - Black,Black,In Ear,Wireless
https://www.amazon.in/Zebronics-Playback-Assistant-Bluetooth-Sunset/dp/B0B2S1K4J7/ref=sr_1_52?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386800&refinements=p_89%3AZEBRONICS&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-52,"ZEBRONICS Jumbo with 160 H* Playback, ENC, Gaming Mode (Up to 50ms), Fast Charging 10min = 15H*, 1000mAh Built-in Battery, Dual Pairing, Voice Asst, BT v5.2, Bluetooth Wireless In Ear Neckband(Sunset)",4199.0,1499.0,ZEBRONICS,ZEB-YOGA 1 (Sunset),Sunset,In Ear,Bluetooth 5.2
https://www.amazon.in/Skullcandy-Wireless-Resistant-Microphone-Assistant/dp/B08JCY3RZK/ref=sr_1_79?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386864&refinements=p_89%3ASkullcandy&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-79,Skullcandy Spoke Truly Wireless Bluetooth in Ear Earbuds with Mic (Black),7999.0,2799.0,Skullcandy,Spoke Earbuds,Black,In Ear,Bluetooth
https://www.amazon.in/Zebronics-Bluetooth-Playtime-Assistant-Black/dp/B09Z7X33H1/ref=sr_1_53?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386800&refinements=p_89%3AZEBRONICS&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-53,"ZEBRONICS Sound Bomb 7 Bluetooth TWS in Ear Earbuds with 40H Playtime, ENC Mic, Rapid Charge, Upto 50ms Gaming Mode, Flash Connect, Voice Assistant, Smooth Touch Control, BT v5.2, Type C (Black)",4299.0,999.0,ZEBRONICS,ZEB-SOUND BOMB 7 (Black),Black,In Ear,Bluetooth 5.2
https://www.amazon.in/Tangent-Bluetooth-Earphones-Assistant-Resistant/dp/B0BSFNBBHL/ref=sr_1_77?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386852&rnid=3837712031&sprefix=%2Caps%2C1567&sr=8-77,"PTron Tangent Duo Bluetooth 5.2 Wireless in Ear Earphones with Mic, 24Hrs Playback, 13mm Driver, Deep Bass, Fast Charging Type-C Neckband, Dual Pairing, Voice Assistant & IPX4 Water Resistant (Black)",1899.0,549.0,pTron,Tangent,Black,nan,nan
https://www.amazon.in/Meyaar-Earphones-Headphones-Microphone-Isolating/dp/B08CG23HDD/ref=sr_1_26?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386809&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-26,Meyaar R-Plus 2208 Edition Deep Bass Wired Durable Metal Earphones Headphones with Microphone in Ear Earbuds Noise Isolating Earphones Remote & Mic Headset Stereo Headphones for Android & iOS (White),799.0,99.0,Meyaar,R Plus 2208,White,In Ear,wired usb
https://www.amazon.in/Meyaar-Samsung-Earphone-Android-Mobiles/dp/B0843B9TSS/ref=sr_1_14?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386807&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-14,"Meyaar YS Made in India Earphones with High Bass Headphones for Android & iOS Mobiles with 3.5 mm Jack Compatibility, Wired Headset with Mic (Black)",999.0,119.0,Meyaar,YS,Black,In Ear,wired usb
https://www.amazon.in/Meyaar-ML-63-Braided-Universal-Earphones/dp/B07X6JYHV5/ref=sr_1_56?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386811&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-56,"Meyaar SPN Made in India Headphones with HD Sound, Headset with in-line mic & 3.5mm Jack Wired Universal Earphones with Free Multifunctional Stylus Pen. (Black)",999.0,279.0,Meyaar,ML 63,Metal Black,In Ear,wired usb
https://www.amazon.in/Skullcandy-S5PXY-L636-Headphone-Speckle-Sunset/dp/B07HB8V9LQ/ref=sr_1_10?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386858&refinements=p_89%3ASkullcandy&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-10,Skullcandy Riff Wired On Ear Headphone with Mic (Blue),3999.0,2099.0,Skullcandy,Riff Wired,Blue,On Ear,Wired
https://www.amazon.in/Airdopes-141-Bluetooth-Wireless-Playtime/dp/B09N3XMZ5F/ref=sr_1_6?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386785&refinements=p_89%3AboAt&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-6,"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Headphones with 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Gaming, ENx Tech, IWP, IPX4 Water Resistance, Smooth Touch Controls(Cyan Cider)",4490.0,1399.0,boAt,Airdopes 141,Cider Cyan,In Ear,Bluetooth 5.1
