product_link,Title,Actual_Price,Selling_Price,Brand,Model Name,Colour,Headphones form factor,Connector Type,Form Factor,Connectivity technologies,Material,Compatible Devices,Item Dimensions LxWxH,Connectivity Technology,Wireless Communication Technology,Special Feature,Mounting Hardware,Series,Included Components
https://www.amazon.in/Launched-Bassbuds-Bluetooth-Headphones-Resistant/dp/B0C1PPLV73/ref=sr_1_10?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386868&refinements=p_89%3APTron&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-10,"PTron Newly Launched Bassbuds Neo TWS Earbuds, HD Mic & TruTalk ENC Calls, Game/Music Modes, 13mm Driver, 35Hrs Playtime, Bluetooth 5.3 Headphones, Type-C Fast Charging & IPX5 Water Resistant (Grey)","₹3,199",899,pTron,Bassbuds,Grey,,,In Ear,,,,,Wireless,,,,,
https://www.amazon.in/ZEBRONICS-Zeb-Evolve-Supporting-Assistant-Earpiece/dp/B09GG1TC5N/ref=sr_1_75?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386802&refinements=p_89%3AZEBRONICS&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-75,"ZEBRONICS Zeb-Evolve 5.0 Bluetooth Wireless in Ear Earphones with Mic with Voice Assistant, Rapid Charge, Dual Pairing, Call Function and Magnetic Earpiece (Metallic Red)","₹1,499",499,ZEBRONICS,ZEB-EVOLVE,Metallic Red,In Ear,Wireless,,,,,,,,,,,
https://www.amazon.in/ZEBRONICS-Zeb-Buds-30-Multifunction-Lightweight/dp/B09SGBBM47/ref=sr_1_34?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386846&rnid=3837712031&sprefix=%2Caps%2C1567&sr=8-34,"ZEBRONICS Zeb-Buds 30 3.5mm Stereo Wired in Ear Earphone with Microphone for Calling, Volume Control, 14mm Drivers, Stylish eartip,1.2 Meter Durable Cable and Lightweight Design(Black)",₹499,212,ZEBRONICS,Zeb-Buds 30 (Black),Black,In Ear,Wired,,,,,,,,,,,
https://www.amazon.in/Meyaar-Headphones-Microphone-Earphones-Smartphones/dp/B08MVFG71V/ref=sr_1_52?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386811&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-52,"Meyaar DG-Beex Pack of 3 Headset with High Bass Headphones with Microphone, Earbuds Wired Stereo Earphones for All Smartphones (3 Black) (Set of 3 White)",₹999,329,Meyaar,DG Beex,Set of 3 White,In Ear,Wired,,,,,,,,,,,
https://www.amazon.in/Skullcandy-Jib-Green-Black-Sunset/dp/B07DGLF9N9/ref=sr_1_34?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386860&refinements=p_89%3ASkullcandy&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-34,Skullcandy Jib Wired In-Earphone with Mic (Green/Black/Sunset) (S2DUY-L102),"₹1,999",749,Skullcandy,Jib with Mic,black,In Ear,Wired,,,,,,,,,,,
https://www.amazon.in/Zebronics-Zeb-Sound-Bomb-Bluetooth-Microphone/dp/B09NNPBN9J/ref=sr_1_83?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386802&refinements=p_89%3AZEBRONICS&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-83,"Zebronics Zeb-Sound Bomb 3 TWS In Ear Earbuds with Bluetooth v5.2, up to 12H Backup, Flash Connect, Splash Proof, Voice Assistant, stem Touch Control, 13mm Driver,Built in Microphone and Type C(Black)","₹3,499",855,ZEBRONICS,Zeb - Sound Bomb 3 (Black),Black,In Ear,Bluetooth 5.2,,,,,,,,,,,
https://www.amazon.in/Boat-Rockerz-550-Headphone-Aesthetics/dp/B0856HNLDK/ref=sr_1_10?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386785&refinements=p_89%3AboAt&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-10,"boAt Rockerz 550 Bluetooth Wireless Over Ear Headphones with Mic Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cushions and Physical Noise Isolation (Red)","₹4,999","1,999",boAt,Rockerz 550,Red,Over Ear,Bluetooth 5.0,,,,,,,,,,,
https://www.amazon.in/Bassbuds-Plus-Bluetooth-Headphones-Resistant/dp/B08S19YC6H/ref=sr_1_15?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386868&refinements=p_89%3APTron&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-15,"PTron Bassbuds Plus in Ear True Wireless Stereo Earbuds with Mic, Deep Bass Bluetooth Headphones, Voice Assistance, IPX4 Sweat & Water Resistant TWS, 12Hrs Battery & Fast Charge (Black)","₹2,499",799,pTron,Bassbuds Plus,Black,In Ear,Wireless,,,,,,,,,,,
https://www.amazon.in/realme-Buds-Wired-Earphones-Blue/dp/B097KMXXTZ/ref=sr_1_41?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386847&rnid=3837712031&sprefix=%2Caps%2C1567&sr=8-41,realme Buds 2 Neo Wired in Ear Earphones with Mic (Blue),₹599,499,realme,realme Buds 2 Neo,Blue,In Ear,Wired,,,,,,,,,,,
https://www.amazon.in/boAt-Rockerz-330ANC-Bluetooth-Earphones/dp/B0B58DXJ7J/ref=sr_1_89?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386789&refinements=p_89%3AboAt&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-89,"boAt Rockerz 330ANC Bluetooth Neckband in Ear Earphones with mic, Crystal Bionic Sound Powered by Dirac Opteo, ANC, 13mm Drivers, ASAP Charge, 24H Playback & ENx Tech(Gunmetal Black)","₹4,999","1,999",boAt,Rockerz 330ANC,Gunmetal Black,In Ear,Wireless,,,,,,,,,,,
https://www.amazon.in/ZEBRONICS-Zeb-Storm-Microphone-Adjustable-Lightweight/dp/B0B4G44RFS/ref=sr_1_4?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386796&refinements=p_89%3AZEBRONICS&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-4,"ZEBRONICS Zeb-Storm Wired On Ear Headphone with 3.5mm Jack, Built-in Microphone for Calling, 1.5 Meter Cable, Soft Ear Cushion, Adjustable Headband, Foldable Ear Cups and Lightweight Design (Black)",₹799,399,ZEBRONICS,Zebronics Zeb Storm-BLACK,Black,On Ear,Wired,,,,,,,,,,,
