product_key,product_link,Title,Actual_Price,Selling_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type
42,https://www.amazon.in/SONY-WH-CH510-Wireless-Headphone-Blue/dp/B0817T8FB6/ref=sr_1_1?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386792&refinements=p_89%3ASONY&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-1,sony whch510 bluetooth wireless on ear headphone upto 35hrs playtime lightweight typec playpause control 30 mm driver bt version 50 voice assistant support for mobile with mic blue,4990.0,2690.0,sony,whch510,blue,on ear,bluetooth 50
43,https://www.amazon.in/Meyaar-Headphones-Microphone-Earphones-Smartphones/dp/B08MVFKGGJ/ref=sr_1_28?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386809&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-28,meyaar dgbeex pack of 3 headset with high bass headphone with microphone earbud wire stereo earphone for all smartphone 3 black set of 3 black,999.0,329.0,meyaar,dg beex,set of 3 black,in ear,wire
44,https://www.amazon.in/Skullcandy-S2IQW-M686-Wireless-Earphone-Cobatt/dp/B07R2LKRFQ/ref=sr_1_68?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386862&refinements=p_89%3ASkullcandy&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-68,skullcandy inkd plus wireless inearphone with mic cobattblue,4999.0,3867.0,skullcandy,inkd plus bt,blue,in ear,bluetooth
45,https://www.amazon.in/boAt-Airdopes-413ANC-Cancellation-Signature/dp/B0BV5Y6D9P/ref=sr_1_90?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386789&refinements=p_89%3AboAt&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-90,boat airdope 413anc true wireless in ear earbud with active noise cancellation 2 mic enx tech signature sound touch gesture 20 hour playback asap charge ambient modeverve purple,4990.0,1999.0,boat,airdope 413anc,verve purple,in ear,bluetooth
46,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MTk3NzY5OTY5OTM3NDI0OjE2ODQzODY4NTI6c3BfYnRmOjIwMDU1ODg3Njg2Nzk4OjowOjo&url=%2FBoult-Audio-Lightning-Environmental-Cancellation%2Fdp%2FB0B31BYXQQ%2Fref%3Dsr_1_81_sspa%3Fcrid%3D26YCJ7VB7YLJ4%26keywords%3Dheadphones%26qid%3D1684386852%26rnid%3D3837712031%26sprefix%3D%252Caps%252C1567%26sr%3D8-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,boult audio z20 true wireless in ear earbud with zen enc mic 40h playtime typec fast charging make in india 10 mm rich bass driver environmental noise cancellation ipx5 ear bud tws green,5499.0,1399.0,boult,airbass,z20 green,in ear,wireless
47,https://www.amazon.in/Airdopes-181-Bluetooth-Wireless-Signature/dp/B09PL677CS/ref=sr_1_104?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386791&refinements=p_89%3AboAt&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-104,boat airdope 181 inear true wireless earbud with enx tech beast modelow latency upto 60ms for game with mic asap charge 20h playtime bluetooth v52 ipx4 iwp bold blue,2990.0,1299.0,boat,airdopes 181,bold blue,in ear,bluetooth 52
48,https://www.amazon.in/Meyaar-Noise-Isolating-Wired-Earphone/dp/B09F11KZPH/ref=sr_1_105?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386815&refinements=p_89%3AMeyaar&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-105,meyaar m11 noise isolate wire inear earphone with mic baby pink neon dark pink,999.0,359.0,meyaar,m11,baby pink neon dark pink,in ear,wire
49,https://www.amazon.in/Skullcandy-Wireless-Resistant-Microphones-Noise-Isolating/dp/B08G1YSRPR/ref=sr_1_29?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386860&refinements=p_89%3ASkullcandy&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-29,skullcandy jib true wireless inear earbudblue,8999.0,3399.0,skullcandy,jib true wireless earbud,blue,in ear,wireless
50,https://www.amazon.in/Bassbuds-Duo-Headphones-Water-Resistant-Assistance/dp/B09DD7N79Q/ref=sr_1_25?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386870&refinements=p_89%3APTron&rnid=3837712031&s=electronics&sprefix=%2Caps%2C1567&sr=1-25,ptron bassbuds duo in ear earbud with 32hrs total playtime bluetooth 51 wireless headphone stereo audio touch control tws with mic typec fast charge ipx4 voice assistance blue,2599.0,799.0,ptron,bassbud,blue,in ear,bluetooth 51
51,https://www.amazon.in/boAt-Rockerz-558-Bluetooth-Headphones/dp/B0BVRD5QKY/ref=sr_1_79?crid=26YCJ7VB7YLJ4&keywords=headphones&qid=1684386852&rnid=3837712031&sprefix=%2Caps%2C1567&sr=8-79,boat rockerz 558 bluetooth wireless over ear headphone with mic upto 20 hour playback 50 mm driver soft padded ear cushion and physical noise isolationmaroon maverick,4999.0,1999.0,boat,rockerz 550,maroon,on ear,bluetooth
